target_gender,target_age,ads_type,ads_url,ads_detail
female,10,youtube,https://www.youtube.com/watch?v=XIOoqJyx8E4,뉴진스 코카콜라 제로 광고 - 중독성 있는 징글의 청량 음료 광고
female,10,youtube,https://www.youtube.com/watch?v=q3ryycdoUDw,요즘 10대 여학생 취향을 반영한 데일리 룩 코디팁을 짧게 소개하는 쇼츠
female,10,youtube,https://www.youtube.com/watch?v=tQqhM5UFDPk,MZ세대가 자주 찾는 서울 핫플 5곳을 선정해 보여주는 영상
female,10,youtube,https://www.youtube.com/watch?v=Kud84m7L5hA,롯데리아 광고 - 투모로우바이투게더의 밝고 경쾌한 햄버거 광고
female,20,youtube,https://youtu.be/p96Uc1cKA70?si=j3-l9PQ3Jd_Qjz_s,20대 여성들이 요즘 즐기는 인기 취미 5가지를 간단히 알려주는 쇼츠
female,20,youtube,https://www.youtube.com/watch?v=iMqHpnOkoD0,20대 여성들이 즐겨하는 운동과 인기 스포츠 종목을 소개하는 영상
female,20,youtube,https://www.youtube.com/watch?v=LEkWT9SPcUI,연남동에서 연인들이 즐기기 좋은 데이트 코스와 핫플을 소개하는 영상
female,20,youtube,https://youtube.com/shorts/eBuGP5zVu8g?si=Bef9fBWPj4_UbxQU,20대 후반 여성들에게 선물하면 좋은 카카오톡 선물하기의 뷰티 상품을 소개하는 쇼츠
female,20,image,./sample_ads/imgs/20_female.png,COCOVIEW 브랜드의 부드러운 눈빛을 강조할 수 있는 분홍색과 갈색 컬러 렌즈 화보 이미지
female,20,video,./sample_ads/videos/20_female.mp4,"찻집을 홍보하기 위해 촬영된 홍차와 스콘, 클로티드 크림과 딸기잼이 있는 동영상"
female,30,youtube,https://youtu.be/REIQ-3HXQoc?si=cpZA6uLUjo913dfV,송혜교의 슈콤마보니 2019 FW 시즌 캠페인 화보 공개 영상
female,30,youtube,https://youtube.com/shorts/bjuQ5QyLoqY?si=nefGdowmTus1D9Hd,30대 여성의 현실적인 여름 코디를 보여주는 룩북 쇼츠 영상
female,30,youtube,https://youtube.com/shorts/ETllOf1IWJc?si=xEx-PyEEM1jHYOEQ,처음 차량을 구매하는 여성들을 위한 꿀팁 쇼츠
female,30,youtube,https://youtube.com/shorts/DxDJPucuLRg?si=GzT7R2J99w8-MaCb,여성을 대상으로 개인 성향에 따라 운동 종목을 선택하는 방법을 알려주는 영상
female,30,image,./sample_ads/imgs/30_female.jpg,유토 필라테스의 1:1 맞춤 수업 10회권 할인 쿠폰을 포함한 홍보 포스터
female,40,youtube,https://youtube.com/shorts/7_Pp868KfOE?si=uXQjyrJDJ3bKjCff,현직 약사가 40대 여성이 갱년기를 겪을 때 먹으면 좋은 영양제를 추천하는 영상
female,40,youtube,https://youtube.com/shorts/RSnAEDd_rW0?si=ULczdTtekPUSqT67,청담샵 원장님이 말하는 나이들수록 더 멋있어보이는 헤어스타일 추천 영상
female,40,youtube,https://youtube.com/shorts/w18w3e9E3W4?si=xrNVTDN_Q_nK2CL6,40대 여성 타겟 의류 쇼핑몰 추천 영상
female,40,youtube,https://youtube.com/shorts/VOpzokSmNyA?si=b7xTcSdmQM12fFbe,인생 조언 스타 강사 김미경의 40대 여성을 위한 강연의 핵심을 정리한 쇼츠
female,40,image,./sample_ads/imgs/40_female.jpg,전직 국가대표 피겨 선수 김연아가 선전하는 쿠첸 브랜드의 전기 밥솥 홍보 포스터
female,50,youtube,https://youtube.com/shorts/ky4Uv3O4PU8?si=ofj0ktoPSC0ZEhMM,5060 여성의 노년 일자리를 위한 자격증 추천 영상
female,50,youtube,https://youtu.be/p_jJ8ikFXos?si=gNbWETAnn3T28Ys2,50대 어머니에게 드릴 생일 선물 품목을 추천해주는 영상
female,50,youtube,https://youtube.com/shorts/vQ1ZFxznZvg?si=Un5CERzv9bqMPSx4,경력이 단절된 50대 여성에게 추천하는 자격증 없이 시작할 수 있는 직무를 소개하는 영상
female,50,youtube,https://youtube.com/shorts/s2bUGJyEPQY?si=WEBPfxbzPj3k8NfD,폐경 이후에 건강 관리를 위해 운동을 해야 하는 의사의 소견을 알려주는 쇼츠
female,50,image,./sample_ads/imgs/50_female.jpg,갱년기 건강 관리를 위한 에스트로벤 영양제 광고 이미지
male,10,youtube,https://youtube.com/shorts/XwFm1l3r_f4?si=GTX2zEufX3Fv-n3m,리그오브레전드 프로게이머인 페이커가 등장하는 삼성 광고
male,10,youtube,https://www.youtube.com/watch?v=-Fb0i9_8DCs,10대 학생들이 가장 선호하는 아르바이트 직종 설문 조사 영상
male,10,youtube,https://youtube.com/shorts/DhUxKJDm0WA?si=_51vBvkSetjAk5T0,10대인 초등학생 남자 아이들이 좋아하는 생일 선물 1~10위를 소개하는 쇼츠
male,10,youtube,https://youtube.com/shorts/pMmGl8r4_QI?si=PhUrlReDJjvROviH,사춘기 남학생들의 피부 관리 방법과 추천하는 기초 화장품을 알려주는 쇼츠
male,20,youtube,https://youtube.com/shorts/CvGFLKwYIbo?si=cS-3pyYZyogZq1y-,남성 타겟 헬스장의 운동복 스타일 소개를 통한 헬스장 홍보 영상
